time,value1,value2,value3,value4
0,0.013004547,0.014758728,0.000453346,-0.011449326
1,-0.032067027,0.004388878,0.000656676,-0.015244827
2,-0.055450022,0.006388294,-0.011136487,-0.016295368
3,-0.079341345,0.009336584,0.024751328,0.001360489
4,-0.078663573,-0.000389386,0.019905288,0.023692945
5,-0.070869245,0.005032758,-0.000766637,0.019795779
6,-0.086288467,-0.001033266,0.012754835,0.010747576
7,-0.066463754,-0.002321025,0.006621034,0.018677462
8,-0.024611577,0.003643333,0.017871983,0.031419501
9,-0.0198672,-0.005032097,0.017566988,0.051006995
10,-0.022578273,-0.004150999,-0.001986619,0.030673955
11,0.001143607,0.004693874,-0.000190534,0.003597124
12,-0.027492091,0.005032758,-0.003172713,0.005765981
13,-0.006311841,-0.000457163,-0.017168622,0.002478807
14,0.013851757,-0.003439342,-0.003308267,0.023455726
15,-0.038505822,-0.004015445,0.022141922,0.034401678
16,0.000974165,-0.003168235,0.002622203,0.020778542
17,-0.003092443,0.004083883,-0.007645982,0.036231652
18,-0.022747716,-0.002829351,0.010280982,0.044432644
19,0.037912522,-0.008827598,0.01983751,0.023930164
20,0.046723504,-0.003981557,0.030037919,0.033249475
21,0.075359203,-0.008725933,0.023395792,0.038231067
22,0.100267179,-0.002049918,0.012110955,-0.003688882
23,0.070445381,0.004117771,-0.003545485,-0.022463055
24,0.072309248,-0.001033266,-0.015372537,-0.042084441
25,0.06417603,-0.000423275,-0.008764299,-0.062078595
26,0.04807904,-0.003100458,-0.01127204,-0.036628406
27,0.026559906,-0.006828182,-0.016626408,-0.036357298
28,-0.012750637,-0.001406038,-0.012966461,-0.045168284
29,-0.022917157,0.004490544,-0.001783289,-0.017142577
30,-0.02562823,0.004931093,-0.011373706,-0.00077448
31,-0.053247277,0.001745583,-0.02018469,0.01572917
32,-0.077308036,-0.000897712,-0.005104352,0.049753126
33,-0.062397145,-0.00072827,-0.005206017,0.02843732
34,-0.031389259,0.000695043,-0.005612678,0.022574628
35,-0.003092443,-0.003236012,-0.001071632,0.037146639
